,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
150,Enchule,"Rauw Alejandro",808283,https://open.spotify.com/track/3ThrfRAmijYU098H9q9tAs
151,Nada,"Cali Y El Dandee",805197,https://open.spotify.com/track/4K8cyoCDovlc4FvtUr2Hfx
152,"Hello (feat. A Boogie Wit da Hoodie)","Pop Smoke",803538,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi
153,"All of Me","John Legend",794636,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
154,"Still Don't Know My Name",Labrinth,794183,https://open.spotify.com/track/6N22FZs2ZhPBYi3b9XPajV
155,"In Your Eyes","The Weeknd",794023,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
156,"hot girl bummer",blackbear,793938,https://open.spotify.com/track/2mt1IqcFyY1zmYZT8Q3xw9
157,Rojo,"J Balvin",790637,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
158,"Wolves (feat. Post Malone)","Big Sean",789918,https://open.spotify.com/track/33gwZOGJWEZ7dRWPqPxBEZ
159,SAD!,XXXTENTACION,786673,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
160,"After Party","Don Toliver",784545,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da
161,"De Menina pra Mulher - Ao Vivo","Gusttavo Lima",783629,https://open.spotify.com/track/42P3wMiPfXQM93TYZotuPQ
162,"Mamichula - con Nicki Nicole",Trueno,781581,https://open.spotify.com/track/4pXW6ZAHBz7ODXTRKklWrM
163,"24 (feat. Lil Baby)","Money Man",776613,https://open.spotify.com/track/0xUvi7wldroBzaZCengPa5
164,"Blueberry Eyes (feat. SUGA of BTS)",MAX,773352,https://open.spotify.com/track/6sI8Q7TTJeA9exw6hxEqq3
165,"rockstar (feat. 21 Savage)","Post Malone",768795,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
166,"THE SCOTTS","THE SCOTTS",768458,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
167,"thank u, next","Ariana Grande",767301,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
168,"Sunday Best",Surfaces,762076,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
169,"Godzilla (feat. Juice WRLD)",Eminem,759583,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
170,"Be Alright","Dean Lewis",757874,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
171,"Hasta Que Dios Diga","Anuel AA",756708,https://open.spotify.com/track/06s3QtMJVXw1AJX3UfvZG1
172,"Heart Of Glass (Live from the iHeart Festival)","Miley Cyrus",751040,https://open.spotify.com/track/5i7ThJfYLAzp2DyZuFpF6j
173,"Bande organisée","13 Organisé",748842,https://open.spotify.com/track/6YzQOngfcV0W9F8UOTnEEK
174,"Oh Juliana",Niack,748400,https://open.spotify.com/track/4xWzZmX4K1yyrdtRfbUvjt
175,Safaera,"Bad Bunny",744809,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
176,"Daddy Issues","The Neighbourhood",737993,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
177,"Yo Perreo Sola","Bad Bunny",731646,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
178,Fake,Lauv,730213,https://open.spotify.com/track/4Gt2kh3QbAGU6yquOWn4aW
179,"Beautiful People (feat. Khalid)","Ed Sheeran",729466,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
180,"OK Not To Be OK",Marshmello,728186,https://open.spotify.com/track/0zzVTGyRrWpQu8Fr28NRAv
181,"Without Me",Halsey,723424,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
182,"Lose Control",MEDUZA,720785,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
183,"Are You Bored Yet? (feat. Clairo)",Wallows,717716,https://open.spotify.com/track/57RA3JGafJm5zRtKJiKPIm
184,"10,000 Hours (with Justin Bieber)","Dan + Shay",717589,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
185,Happier,Marshmello,714479,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
186,"The Less I Know The Better","Tame Impala",710182,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ
187,"CÓMO SE SIENTE - Remix","Jhay Cortez",709539,https://open.spotify.com/track/2tFwfmceQa1Y6nRPhYbEtC
188,"The Business",Tiësto,700741,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
189,"when the party's over","Billie Eilish",698918,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
190,"Lose Somebody",Kygo,696366,https://open.spotify.com/track/1sgDyuLooyvEML4oHspNza
